date,open,high,low,close,adj_close,volume,daily_return,sma_20,sma_50,sma_200,vol_30d_ann,drawdown,weekday,month,month_lbl,year,vol_ma20,vol_spike,extreme_ret
2012-05-18,42.04999924,45.0,38.0,38.22999954,38.08451462,573576400,,,,,,0.0,Friday,5,May,2012,,False,False
2012-05-21,36.52999878,36.65999985,33.0,34.02999878,33.90050125,168192700,-0.10986127594764661,,,,,-0.10986127594764661,Monday,5,May,2012,,False,True
2012-05-22,32.61000061,33.59000015,30.94000053,31.0,30.88203239,101786600,-0.08903906280736773,,,,,-0.1891183937058143,Tuesday,5,May,2012,,False,True
2012-05-23,31.37000084,32.5,31.36000061,32.0,31.87822723,73600000,0.03225807250699542,,,,,-0.16296091605538754,Wednesday,5,May,2012,,False,False
2012-05-24,32.95000076,33.20999908,31.77000046,33.02999878,32.90430832,50237200,0.03218752042254014,,,,,-0.13601870344645606,Thursday,5,May,2012,,False,False
2012-05-25,32.90000153,32.95000076,31.11000061,31.90999985,31.7885704,37149800,-0.033908566293181286,,,,,-0.16531507051671068,Friday,5,May,2012,,False,False
2012-05-29,31.47999954,31.69000053,28.64999962,28.84000015,28.73025322,78063400,-0.09620807546601717,,,,,-0.24561850120278617,Tuesday,5,May,2012,,False,True
2012-05-30,28.70000076,29.54999924,27.86000061,28.19000053,28.08272552,57267900,-0.022538182836106646,,,,,-0.2626208893508539,Wednesday,5,May,2012,,False,False
2012-05-31,28.54999924,29.67000008,26.82999992,29.60000038,29.48736,111639200,0.0500177405857436,,,,,-0.22573885228105872,Thursday,5,May,2012,,False,False
2012-06-01,28.88999939,29.14999962,27.38999939,27.71999931,27.6145153,41855500,-0.06351347492620563,,,,,-0.2749148682730409,Friday,6,Jun,2012,,False,True
2012-06-04,27.20000076,27.64999962,26.44000053,26.89999962,26.79763412,35230300,-0.029581586753398503,,,,,-0.29636403700082126,Monday,6,Jun,2012,,False,False
2012-06-05,26.70000076,27.76000023,25.75,25.87000084,25.77155495,42473400,-0.03828991639355972,,,,,-0.3233061991955617,Tuesday,6,Jun,2012,,False,False
2012-06-06,26.06999969,27.17000008,25.52000046,26.80999947,26.70797539,61489200,0.03633542647375276,,,,,-0.29871824135118774,Wednesday,6,Jun,2012,,False,False
2012-06-07,27.0,27.35000038,26.14999962,26.30999947,26.20987892,26159500,-0.01864972775834206,,,,,-0.31179695523187945,Thursday,6,Jun,2012,,False,False
2012-06-08,26.54999924,27.76000023,26.44000053,27.10000038,26.99687195,38034000,0.030026580145681825,,,,,-0.29113257135164716,Friday,6,Jun,2012,,False,False
2012-06-11,27.18000031,28.06999969,26.84000015,27.01000023,26.90721512,28219600,-0.0033210080844199297,,,,,-0.2934867258129703,Monday,6,Jun,2012,,False,False
2012-06-12,27.47999954,27.77000046,26.95999908,27.39999962,27.2957325,15816800,0.014439152408277867,,,,,-0.28328527296851236,Tuesday,6,Jun,2012,,False,False
2012-06-13,27.65999985,28.10000038,27.10000038,27.27000046,27.16622925,17102800,-0.004744450437444758,,,,,-0.28668569046869996,Wednesday,6,Jun,2012,,False,False
2012-06-14,27.64999962,28.31999969,27.37999916,28.29000092,28.18234634,16855000,0.03740368531271221,,,,,-0.26000510650593667,Thursday,6,Jun,2012,,False,False
2012-06-15,28.51000023,30.10000038,28.35000038,30.01000023,29.89579964,43563800,0.060798816369950215,29.264212321500004,,,,-0.21501429286169016,Friday,6,Jun,2012,80915655.0,False,True
2012-06-18,29.95999908,32.08000183,29.40999985,31.40999985,31.29047394,42978900,0.046651178988166286,28.9245102875,,,,-0.17839378413482854,Monday,6,Jun,2012,54385780.0,False,False
2012-06-19,31.54000092,32.18000031,30.70000076,31.90999985,31.7885704,30849000,0.015918469658053436,28.818913745000003,,,,-0.16531507051671068,Tuesday,6,Jun,2012,47518595.0,False,False
2012-06-20,31.92000008,31.93000031,31.14999962,31.60000038,31.47975159,15553600,-0.009714775031216982,28.848799704999998,,,,-0.17342384682858802,Wednesday,6,Jun,2012,43206945.0,False,False
2012-06-21,31.67000008,32.5,31.51000023,31.84000015,31.71883583,21875300,0.007594857898305385,28.840830134999997,,,,-0.16714611840312332,Thursday,6,Jun,2012,40620710.0,False,False
2012-06-22,32.40999985,33.45000076,32.06000137,33.04999924,32.9242363,74834000,0.038002670604320166,28.841826534,,,,-0.13549544667926772,Friday,6,Jun,2012,41850550.0,False,False
2012-06-25,32.86000061,33.02000046,31.54999924,32.06000137,31.93800163,24352900,-0.029954671112599196,28.8492980955,,,,-0.16139139624933474,Monday,6,Jun,2012,41210705.0,False,False
2012-06-26,32.68999863,33.43999863,32.5,33.09999847,32.97404099,24858700,0.032439079063319554,29.061487483999997,,,,-0.13418770544908687,Tuesday,6,Jun,2012,38550470.0,False,False
2012-06-27,32.45999908,32.90000153,31.89999962,32.22999954,32.10735321,28568000,-0.026283941973106684,29.262718868500002,,,,-0.15694466555866537,Wednesday,6,Jun,2012,37115475.0,False,False
2012-06-28,31.95999908,32.18999863,30.89999962,31.36000061,31.24066353,17713300,-0.0269934950517835,29.350384045,,,,-0.17970167555728722,Thursday,6,Jun,2012,32419180.0,False,False
2012-06-29,31.92000008,31.98999977,30.76000023,31.10000038,30.98165321,19526900,-0.008290807259944244,29.5187409405,,,,-0.18650261086089692,Friday,6,Jun,2012,31302750.0,False,False
2012-07-02,31.25,31.72999954,30.54999924,30.77000046,30.65290833,14122000,-0.010610953449504468,29.711504650999995,,,0.6986858687069589,-0.1951345937883454,Monday,7,Jul,2012,30247335.0,False,False
2012-07-03,30.90999985,31.44000053,30.79999924,31.20000076,31.08127403,8763600,0.01397471637563208,29.976990604999997,,,0.627680964491181,-0.18388682801597955,Tuesday,7,Jul,2012,28561845.0,False,False
2012-07-05,31.31999969,31.62999916,31.02000046,31.46999931,31.35024452,10032100,0.008653779434536268,30.2091040615,,,0.571469704624282,-0.17682436463201012,Thursday,7,Jul,2012,25988990.0,False,False
2012-07-06,31.44000053,31.89999962,31.26000023,31.72999954,31.60925293,10945600,0.008261766820822247,30.479072762000005,,,0.5643010367630055,-0.17002347948001761,Friday,7,Jul,2012,25228295.0,False,False
2012-07-09,32.09999847,32.88000107,31.98999977,32.16999817,32.04758072,17785200,0.01386707211874616,30.7316082005,,,0.557775794456563,-0.15851413521310098,Monday,7,Jul,2012,24215855.0,False,False
